DATE,CURRENCY_NAME,CURRENCY_CODE,TERMS,INTERNAL_SPOT_RATE,BUY_RATE,SELL_RATE,BOSS_RATE,CUTOFF_TIME
10-Aug-19,Canadian dollar,CAD,M,1.5,2.29,3.86,2.78,15:00:00
11-Aug-19,Canadian dollar,GBP,M,2.9,1.88,1.96,1.3,15:00:00
12-Aug-19,Emirati dirham,JPY,M,2.6,2.81,1.92,1.81,15:00:00
13-Aug-19,Pound Sterling,AUD,M,2.9,1.48,1.73,1.25,15:00:00
14-Aug-19,Emirati dirham,CAD,M,1.2,2.81,1.55,2.37,15:00:00
15-Aug-19,Pound Sterling,CAD,D,1.4,2.45,3.82,1.03,15:00:00
16-Aug-19,New Zealand dollar,EUR,D,2.2,1.84,2.53,1.97,15:00:00
17-Aug-19,New Zealand dollar,AUD,D,1.7,1.58,1.88,2.67,15:00:00
18-Aug-19,New Zealand dollar,AED,D,2.7,1.3,2.41,2.05,15:00:00
19-Aug-19,Pound Sterling,CAD,M,2.4,2.45,3.34,2.3,15:00:00
20-Aug-19,Australian dollar,GBP,M,2.1,2.17,2.39,2.83,15:00:00
21-Aug-19,Canadian dollar,GBP,M,2,1.88,1.47,1.76,15:00:00
22-Aug-19,Pound Sterling,AUD,M,1.4,2.24,3.3,1.87,15:00:00
23-Aug-19,Emirati dirham,JPY,M,1.2,2.35,3.9,1.1,15:00:00
24-Aug-19,New Zealand dollar,EUR,M,1.7,1.66,1.96,2.15,15:00:00
25-Aug-19,Pound Sterling,NZD,D,2,1.18,1.1,2.12,15:00:00
26-Aug-19,Euro,EUR,D,2.5,2.41,1.57,2.92,15:00:00
27-Aug-19,Australian dollar,NZD,M,2.1,1.45,1.51,2.85,15:00:00
28-Aug-19,New Zealand dollar,JPY,M,2.9,1.7,1.97,2.51,15:00:00
29-Aug-19,Emirati dirham,NZD,M,2.7,2.41,1.5,2.53,15:00:00
30-Aug-19,Euro,AED,D,2.6,1.49,1.25,1.95,15:00:00
31-Aug-19,New Zealand dollar,AUD,D,3,2.97,3.95,1.6,15:00:00
01-Sep-19,Canadian dollar,EUR,D,2.3,2.39,3.89,2.21,15:00:00
02-Sep-19,Japanese yen,EUR,M,1.2,1.8,2.93,2.43,15:00:00
03-Sep-19,Australian dollar,AUD,D,1.7,2.04,1.62,2.16,15:00:00
04-Sep-19,Emirati dirham,CAD,D,2.9,2.52,1.89,1.31,15:00:00
05-Sep-19,Pound Sterling,GBP,D,1.8,1.42,2.44,1.23,15:00:00
06-Sep-19,Australian dollar,EUR,D,1.9,1.39,2.23,2.49,15:00:00
07-Sep-19,Canadian dollar,AED,D,1.2,2.16,3.54,1.83,15:00:00
08-Sep-19,Euro,AUD,D,2.1,1.32,3.69,1.04,15:00:00
09-Sep-19,Euro,AED,M,1.5,1.29,2.42,1.44,15:00:00
10-Sep-19,New Zealand dollar,EUR,M,2.4,1.39,3.21,1.23,15:00:00
11-Sep-19,New Zealand dollar,JPY,M,2.9,1.76,2.86,2.39,15:00:00
12-Sep-19,Japanese yen,CAD,D,2,2.43,2.13,1.82,15:00:00
13-Sep-19,Australian dollar,EUR,D,2.5,1.08,1.46,2.85,15:00:00
14-Sep-19,New Zealand dollar,CAD,M,2,2.85,1.29,2.61,15:00:00
15-Sep-19,New Zealand dollar,JPY,D,2.9,2.01,1.2,2.14,15:00:00
16-Sep-19,Emirati dirham,GBP,M,2.9,2.7,2.28,1.06,15:00:00
17-Sep-19,Emirati dirham,AUD,M,1.7,1.91,2.05,2.94,15:00:00
18-Sep-19,Emirati dirham,JPY,D,2.7,1.94,2.88,2.01,15:00:00
19-Sep-19,Australian dollar,EUR,D,1.6,2.63,1.17,1.86,15:00:00
20-Sep-19,Euro,EUR,M,2.4,1.19,1.49,2.55,15:00:00
21-Sep-19,Canadian dollar,GBP,D,2.6,1.54,3.28,2.42,15:00:00
22-Sep-19,New Zealand dollar,AUD,D,2.2,1.12,2.72,2.46,15:00:00
23-Sep-19,Japanese yen,NZD,M,2.1,1.76,3.69,2.7,15:00:00
24-Sep-19,New Zealand dollar,AED,M,1.9,2.51,2.34,1.27,15:00:00
25-Sep-19,Pound Sterling,JPY,D,2.5,2.27,2.32,2.21,15:00:00
26-Sep-19,Japanese yen,JPY,M,1.2,2.51,2.9,1.63,15:00:00
27-Sep-19,Pound Sterling,NZD,M,1.7,1.66,2.7,2.29,15:00:00
28-Sep-19,Japanese yen,JPY,D,1.7,1.76,2.09,2,15:00:00
29-Sep-19,Australian dollar,GBP,D,2.6,2.48,3.57,2.75,15:00:00
30-Sep-19,Canadian dollar,JPY,D,1.9,1.12,2.61,1.24,15:00:00
01-Oct-19,Canadian dollar,CAD,M,2,1.4,3.95,1.72,15:00:00
02-Oct-19,Japanese yen,AED,D,2.4,1.45,3.73,1.36,15:00:00
03-Oct-19,New Zealand dollar,NZD,M,2.7,2.23,3.28,1.8,15:00:00
04-Oct-19,Emirati dirham,NZD,D,1,1.78,2.5,2.14,15:00:00
05-Oct-19,Japanese yen,JPY,M,1.4,1.15,1.66,1.14,15:00:00
06-Oct-19,New Zealand dollar,NZD,D,1.5,1.32,3.47,2.2,15:00:00
07-Oct-19,New Zealand dollar,AUD,D,2.7,2.25,3.78,2.56,15:00:00
08-Oct-19,New Zealand dollar,GBP,D,1.4,1.35,1.42,2.04,15:00:00
09-Oct-19,Euro,CAD,D,2.6,2.63,2.41,1.56,15:00:00
10-Oct-19,Japanese yen,NZD,M,1.3,1.39,2.31,2.14,15:00:00
11-Oct-19,Emirati dirham,AED,D,1.7,2.23,1.63,2.45,15:00:00
12-Oct-19,Pound Sterling,NZD,M,1.1,1.54,3.94,1.31,15:00:00
13-Oct-19,Australian dollar,AED,D,2.2,1.45,2.81,1.96,15:00:00
14-Oct-19,Japanese yen,JPY,D,2.5,1.3,1.5,1.04,15:00:00
15-Oct-19,Euro,EUR,M,2.6,2.73,1.85,2.71,15:00:00
16-Oct-19,Euro,GBP,D,1.4,2.48,2.47,2.52,15:00:00
17-Oct-19,Pound Sterling,CAD,M,1.2,2.1,2.48,1.74,15:00:00
18-Oct-19,Pound Sterling,EUR,D,1.6,2.84,1.37,1.12,15:00:00
19-Oct-19,Canadian dollar,EUR,D,2.4,2.05,3.93,1.77,15:00:00
20-Oct-19,Canadian dollar,GBP,M,1.1,2.46,2.82,2.84,15:00:00
21-Oct-19,Emirati dirham,NZD,M,1.2,1.52,2.21,1.2,15:00:00
22-Oct-19,Pound Sterling,AUD,M,1.8,2.53,3.06,2.48,15:00:00
23-Oct-19,Pound Sterling,NZD,M,1,1.2,2.92,1.33,15:00:00
24-Oct-19,Euro,GBP,M,1.6,2.37,3.11,2.55,15:00:00
25-Oct-19,Australian dollar,CAD,D,2.2,2.38,2.22,2.89,15:00:00
26-Oct-19,Pound Sterling,GBP,D,2.3,2.03,2.05,2.33,15:00:00
27-Oct-19,Euro,AED,D,1.4,2.27,2.08,1.26,15:00:00
28-Oct-19,Canadian dollar,CAD,D,1.6,2.82,1.23,2.16,15:00:00
29-Oct-19,New Zealand dollar,AED,M,2.6,1.19,2.08,2.54,15:00:00
30-Oct-19,Japanese yen,EUR,M,1.2,1.37,2.7,2.34,15:00:00
31-Oct-19,Euro,AUD,M,2.9,2.92,2.83,2.52,15:00:00
01-Nov-19,New Zealand dollar,EUR,D,1.4,1.76,3.48,1.59,15:00:00
02-Nov-19,Emirati dirham,GBP,D,2,1.73,3.04,2.76,15:00:00
03-Nov-19,Emirati dirham,CAD,D,1.6,2.8,3.22,2.97,15:00:00
04-Nov-19,Euro,NZD,D,2.5,1.06,2.19,1.09,15:00:00
05-Nov-19,New Zealand dollar,GBP,D,1,1.24,1.32,2.96,15:00:00
06-Nov-19,Euro,GBP,D,2.5,2.43,1.72,2.33,15:00:00
07-Nov-19,New Zealand dollar,GBP,D,1.4,2.75,1.76,2.38,15:00:00
08-Nov-19,Japanese yen,JPY,M,1,2.32,2.16,2.86,15:00:00
09-Nov-19,Pound Sterling,AUD,M,2.5,1.16,2.71,1.86,15:00:00
10-Nov-19,Emirati dirham,NZD,M,2.8,1.71,2.04,2.02,15:00:00
11-Nov-19,Euro,EUR,M,2,1.09,1.71,1.96,15:00:00
12-Nov-19,Pound Sterling,JPY,M,1.2,2.87,3.71,2.49,15:00:00
13-Nov-19,Australian dollar,AUD,M,1.6,1.23,3.92,2.06,15:00:00
14-Nov-19,Canadian dollar,CAD,M,2.5,1.32,3.12,1.01,15:00:00
15-Nov-19,Emirati dirham,GBP,D,2.3,1.83,1.88,1.33,15:00:00
16-Nov-19,Japanese yen,NZD,M,1.2,2.52,3,1.26,15:00:00
17-Nov-19,Pound Sterling,GBP,M,2.9,2.54,2.59,2.56,15:00:00
18-Nov-19,Canadian dollar,AUD,D,2.3,2.41,3.55,1.91,15:00:00
19-Nov-19,Australian dollar,NZD,M,1,2.36,2.47,2.45,15:00:00
20-Nov-19,New Zealand dollar,GBP,D,2.5,2.27,2.62,1.19,15:00:00
21-Nov-19,Canadian dollar,NZD,M,2.6,2.34,1.77,1.66,15:00:00
22-Nov-19,Pound Sterling,GBP,D,1.5,2.5,2.42,1.4,15:00:00
23-Nov-19,Pound Sterling,EUR,D,2.1,2.03,3.18,1.11,15:00:00
24-Nov-19,New Zealand dollar,GBP,M,2.1,1.82,1.46,2.82,15:00:00
25-Nov-19,New Zealand dollar,AUD,M,3,2.1,1.91,2.35,15:00:00
26-Nov-19,Canadian dollar,NZD,M,2.9,1.87,3.34,1.9,15:00:00
27-Nov-19,Pound Sterling,AUD,M,2.4,2.64,3.86,1.27,15:00:00
28-Nov-19,Canadian dollar,AED,M,1.6,1.42,3.52,1.94,15:00:00
29-Nov-19,Australian dollar,CAD,D,2.8,2.63,3.49,1.05,15:00:00
30-Nov-19,Euro,JPY,M,2.2,2.74,3.33,2.16,15:00:00
01-Dec-19,Euro,AUD,M,2.5,1.87,2.43,1.55,15:00:00
02-Dec-19,Emirati dirham,AUD,M,1.2,1.14,2.4,1.59,15:00:00
03-Dec-19,Pound Sterling,JPY,D,1.8,1.06,3.73,2.23,15:00:00
04-Dec-19,New Zealand dollar,AED,M,1.7,1.75,1.67,2.54,15:00:00
05-Dec-19,Euro,JPY,D,1.8,1.18,1.99,2.75,15:00:00
06-Dec-19,Australian dollar,EUR,D,2.2,2.7,3.3,1.01,15:00:00
07-Dec-19,New Zealand dollar,EUR,D,1.7,2.05,3.07,1.78,15:00:00
08-Dec-19,Emirati dirham,NZD,M,2.3,1.05,3.89,2.84,15:00:00
09-Dec-19,Canadian dollar,AED,M,1.4,2.76,3.39,1.63,15:00:00
10-Dec-19,Australian dollar,EUR,D,2.4,1.37,1.49,1.03,15:00:00
11-Dec-19,Australian dollar,JPY,M,2.5,2.45,2.82,2.86,15:00:00
12-Dec-19,Pound Sterling,JPY,M,2.1,1.38,2.44,2.56,15:00:00
13-Dec-19,Canadian dollar,CAD,D,1.9,2.16,3.49,1.66,15:00:00
14-Dec-19,Canadian dollar,JPY,M,1.8,1.96,1.4,2.3,15:00:00
15-Dec-19,Euro,GBP,M,1.4,1.2,2.27,1.38,15:00:00
16-Dec-19,Canadian dollar,NZD,M,1.1,1.69,1.93,2,15:00:00
17-Dec-19,New Zealand dollar,AUD,M,1.8,2.3,1.3,2.15,15:00:00
18-Dec-19,Canadian dollar,AED,M,1.1,1.61,2.79,1.44,15:00:00
19-Dec-19,Euro,CAD,M,1.4,1.09,2.02,1.87,15:00:00
20-Dec-19,Australian dollar,NZD,M,1.5,1.89,3.45,2.6,15:00:00
21-Dec-19,New Zealand dollar,AED,M,1.7,2.83,1.46,2.76,15:00:00
22-Dec-19,Pound Sterling,JPY,D,1.6,2.6,1.34,2.64,15:00:00
23-Dec-19,Pound Sterling,NZD,M,2.9,2.18,3.78,2.61,15:00:00
24-Dec-19,Canadian dollar,EUR,M,1.3,2.95,3.04,2.92,15:00:00
25-Dec-19,Canadian dollar,GBP,M,1.4,2.34,1.28,1.92,15:00:00
26-Dec-19,Australian dollar,NZD,D,2.8,2.13,3.44,2.66,15:00:00
27-Dec-19,Euro,EUR,M,1.3,2.57,2.57,2.23,15:00:00
28-Dec-19,Pound Sterling,AED,M,2.5,1.16,3.09,2.32,15:00:00
29-Dec-19,Australian dollar,JPY,D,1.5,2.26,1.95,1.42,15:00:00
30-Dec-19,Emirati dirham,CAD,M,2.3,1.56,1.56,2.44,15:00:00
31-Dec-19,Australian dollar,NZD,M,1.5,2.13,3.65,2.54,15:00:00
01-Jan-20,Canadian dollar,AED,D,1.2,1.07,2.57,2.28,15:00:00
02-Jan-20,Canadian dollar,AUD,M,1.8,1.05,3.59,2.67,15:00:00
03-Jan-20,Japanese yen,GBP,D,1.1,2.12,1.21,2.54,15:00:00
04-Jan-20,Japanese yen,CAD,D,1.5,2.29,2.62,2.47,15:00:00
05-Jan-20,New Zealand dollar,AUD,M,1.2,1.25,2.66,1.96,15:00:00
06-Jan-20,Japanese yen,EUR,D,1.6,2.68,3.12,1.91,15:00:00
07-Jan-20,Canadian dollar,AED,D,1.2,2.01,3.3,1.53,15:00:00
08-Jan-20,Australian dollar,AED,D,2.2,2.93,3.99,1.79,15:00:00
09-Jan-20,Australian dollar,AUD,D,2.2,2.24,2.07,1.64,15:00:00
10-Jan-20,Australian dollar,JPY,D,2.4,1.71,2.75,1.17,15:00:00
11-Jan-20,Canadian dollar,CAD,M,2.1,2.8,2.59,1.2,15:00:00
12-Jan-20,Pound Sterling,JPY,D,2.1,1.24,3.97,1.04,15:00:00
13-Jan-20,Pound Sterling,JPY,M,2.8,1.83,1.8,2.74,15:00:00
14-Jan-20,New Zealand dollar,NZD,D,1.8,2.14,2.92,2.38,15:00:00
15-Jan-20,Japanese yen,AED,D,1.8,1.52,1.51,1.33,15:00:00
16-Jan-20,Australian dollar,EUR,D,2.9,1.16,1.96,2.93,15:00:00
17-Jan-20,Australian dollar,EUR,M,1.3,1.05,2.16,1.94,15:00:00
18-Jan-20,New Zealand dollar,GBP,D,1.3,1.52,1.08,2.72,15:00:00
19-Jan-20,Canadian dollar,JPY,D,2,1.79,3.41,2.31,15:00:00
20-Jan-20,Euro,AED,D,1.2,2.92,2.72,3,15:00:00
21-Jan-20,Pound Sterling,NZD,D,1.7,1.48,1.59,2.66,15:00:00
22-Jan-20,Australian dollar,EUR,D,1.8,2.95,1.22,2.52,15:00:00
23-Jan-20,Euro,GBP,M,1.8,2.92,3.03,1.7,15:00:00
24-Jan-20,New Zealand dollar,NZD,D,2.1,2.92,3.28,2.24,15:00:00
25-Jan-20,Canadian dollar,JPY,D,1.1,2.03,2.13,1.17,15:00:00
26-Jan-20,Japanese yen,GBP,D,2.8,2.61,3.5,2.7,15:00:00
27-Jan-20,New Zealand dollar,EUR,M,1.5,2.28,3.88,1.44,15:00:00
28-Jan-20,Japanese yen,NZD,M,1.2,2.32,1.21,2.04,15:00:00
29-Jan-20,Canadian dollar,GBP,D,2.9,2.39,1.52,2.91,15:00:00
30-Jan-20,New Zealand dollar,NZD,M,3,1.61,1.96,1.16,15:00:00
31-Jan-20,Japanese yen,CAD,D,1.4,2.81,1.76,1.75,15:00:00
01-Feb-20,Emirati dirham,EUR,D,1.1,1.64,2.21,2.79,15:00:00
02-Feb-20,Euro,EUR,M,2.4,2.06,1.84,1.27,15:00:00
03-Feb-20,Pound Sterling,CAD,M,1.8,1.7,2.08,2.35,15:00:00
04-Feb-20,Canadian dollar,CAD,D,2.1,2.51,3.68,2.18,15:00:00
05-Feb-20,Euro,AUD,M,1.4,1.71,3.61,1.44,15:00:00
06-Feb-20,New Zealand dollar,NZD,D,2.5,1.03,3.1,2.7,15:00:00
07-Feb-20,Canadian dollar,JPY,M,1.9,1.06,1.6,1.15,15:00:00
08-Feb-20,Japanese yen,AUD,D,1.1,1.1,3.76,1.46,15:00:00
09-Feb-20,Japanese yen,AUD,M,2.6,2.78,3.35,1.95,15:00:00
10-Feb-20,Emirati dirham,AED,M,1,1.12,2.82,1.67,15:00:00
11-Feb-20,Australian dollar,EUR,D,2.2,2.73,3.79,2.3,15:00:00
12-Feb-20,Japanese yen,CAD,M,1.2,2.88,3.84,2.61,15:00:00
13-Feb-20,Japanese yen,EUR,D,2.5,2.96,3.13,2.81,15:00:00
14-Feb-20,Japanese yen,NZD,D,2.4,1.74,3.34,2.15,15:00:00
15-Feb-20,Pound Sterling,CAD,D,2.3,2.75,1.44,2.53,15:00:00
16-Feb-20,Euro,EUR,M,2.3,2.13,2.37,1.53,15:00:00
17-Feb-20,Canadian dollar,AED,D,1.6,2.43,2.09,2.74,15:00:00
18-Feb-20,Pound Sterling,AED,D,2.7,1.95,2.22,1.06,15:00:00
19-Feb-20,Australian dollar,AED,D,3,2.31,2.6,1.85,15:00:00
20-Feb-20,New Zealand dollar,AUD,M,1.6,2.06,3.63,1.97,15:00:00
21-Feb-20,Euro,AUD,M,1.9,1.06,2.22,1.5,15:00:00
22-Feb-20,Emirati dirham,EUR,D,1.7,2.29,1.56,1.06,15:00:00
23-Feb-20,Emirati dirham,EUR,D,1.8,1.69,1.55,1.74,15:00:00
24-Feb-20,Euro,AUD,D,1.2,2.44,3.96,2.6,15:00:00
25-Feb-20,Australian dollar,EUR,M,1.1,2.21,2.82,2.61,15:00:00
26-Feb-20,Australian dollar,JPY,M,2.2,1.01,2.77,1.33,15:00:00
27-Feb-20,Australian dollar,JPY,D,1.7,1.28,1.78,2.7,15:00:00
28-Feb-20,Euro,NZD,M,1.9,1.85,3.82,1.1,15:00:00
29-Feb-20,Japanese yen,EUR,D,2.6,2.18,2.94,1.48,15:00:00
01-Mar-20,Australian dollar,GBP,D,2.8,1.34,3.34,2.51,15:00:00
02-Mar-20,Japanese yen,NZD,M,2.3,2.67,2.63,1.88,15:00:00
03-Mar-20,Euro,AED,D,1.7,1.88,1.82,1.36,15:00:00
04-Mar-20,New Zealand dollar,JPY,D,2.3,1.27,1.85,1.05,15:00:00
05-Mar-20,Canadian dollar,EUR,D,2.1,1.4,3.83,2.41,15:00:00
06-Mar-20,Pound Sterling,JPY,M,2.3,1.7,3.53,1.2,15:00:00
07-Mar-20,Emirati dirham,NZD,D,1.1,2.67,3.85,1.9,15:00:00
08-Mar-20,Emirati dirham,GBP,D,2.2,1.79,3.86,1.24,15:00:00
09-Mar-20,Japanese yen,JPY,D,1.7,1.5,2.77,1.86,15:00:00
10-Mar-20,Pound Sterling,JPY,D,2.2,1.7,1.47,2.37,15:00:00
11-Mar-20,Pound Sterling,NZD,D,1.5,1.39,1.18,1.27,15:00:00
12-Mar-20,Canadian dollar,AUD,D,1.3,2.65,1.06,1.09,15:00:00
13-Mar-20,Pound Sterling,AED,M,2,1.15,3.91,1.88,15:00:00
14-Mar-20,New Zealand dollar,GBP,M,2.4,1.07,1.05,1.9,15:00:00
15-Mar-20,New Zealand dollar,GBP,D,2.2,1.27,3.33,1.14,15:00:00
16-Mar-20,Euro,EUR,M,2.4,1.16,1,2.34,15:00:00
17-Mar-20,Japanese yen,CAD,M,2.1,2.11,1.23,2.6,15:00:00
18-Mar-20,Japanese yen,AUD,D,1.6,1.02,1.75,2.05,15:00:00
19-Mar-20,Japanese yen,GBP,M,2.3,2.09,3.16,2.91,15:00:00
20-Mar-20,Japanese yen,AUD,D,2,2.74,1.42,2.41,15:00:00
21-Mar-20,Japanese yen,NZD,M,2.3,2.14,2.53,2.61,15:00:00
22-Mar-20,Euro,NZD,M,2,2.42,1.91,1.94,15:00:00
23-Mar-20,Emirati dirham,NZD,M,1.1,2.25,3.93,2.62,15:00:00
24-Mar-20,Canadian dollar,EUR,M,2.9,2.44,2.59,1.23,15:00:00
25-Mar-20,Australian dollar,JPY,D,2.3,2.99,3.7,1.16,15:00:00
26-Mar-20,Emirati dirham,NZD,D,1.8,2.39,1.07,1.37,15:00:00
27-Mar-20,Pound Sterling,AUD,M,2.5,2.51,2.9,1.51,15:00:00
28-Mar-20,Emirati dirham,EUR,D,1.7,2.4,1.58,2.28,15:00:00
29-Mar-20,Australian dollar,AED,D,1.3,2.31,3.49,1.19,15:00:00
30-Mar-20,Euro,CAD,M,2.9,2.64,1.43,2.53,15:00:00
31-Mar-20,Pound Sterling,AED,D,1.7,1.12,3.38,2.03,15:00:00
01-Apr-20,Pound Sterling,GBP,M,1.5,2.53,1.97,1.84,15:00:00
02-Apr-20,Australian dollar,JPY,M,1.6,2.18,2.31,1.48,15:00:00
